Date (mm/dd/yr),Total Study Sessions,Full Study Sessions,Total Study Time (mins),Water Intake (cups),Whole Foods (%),Sugar (yes/no),Alcohol (yes/no),ADHD Medicatoin (yes/no)
01/27/26,1,0,20,0-8,<80%,yes,no,no
01/28/26,2,2,53,0-8,<80%,yes,yes,no
01/29/26,4,3,290,0-8,<80%,yes,yes,yes
01/30/26,3,1,110,0-8,<80%,yes,no,no
01/31/26,1,0,20,0-8,<80%,yes,yes,no
02/01/26,N/A,0,45,0-8,<80%,yes,no,no
02/04/26,3,2,130,8-16,>80%,no,no,yes
02/05/26,3,2,232,8-16,<80%,no,no,yes
02/06/26,1,1,110,0-8,<80%,N/A,Yes,yes
02/07/26,1,0,15,0-8,<80%,Yes,No,No
02/08/26,5,2,426,8-16,<80%,Yes,No,Yes
02/10/26,1,1,240,0-8,<80%,Yes,No,Yes
02/11/26,0,0,0,0-8,<80%,Yes,Yes,No
02/13/26,1,1,180,0-8,<80%,yes,No,No
02/14/26,0,0,0,8-16,<80%,Yes,Yes,No
02/16/26,2,2,170,0-8,<80%,Yes,No,No
02/17/26,1,1,150,0-8,<80%,Yes,No,No
02/18/26,0,0,0,0-8,<80%,Yes,No,No
02/19/26,2,2,240,0-8,<80%,Yes,Yes,No
02/20/26,0,0,0,0-8,<80%,Yes,Yes,No
02/21/26,0,0,0,0-8,<80%,Yes,No,No
02/22/26,1,0,20,0-8,<80%,Yes,Yes,No
02/23/26,1,0,10,0-8,<80%,Yes,No,No
02/25/26,1,1,60,0-8,<80%,Yes,No,No
02/26/26,0,0,0,0-8,<80%,Yes,Yes,No
02/27/26,0,0,0,0-8,<80%,Yes,Yes,No
02/28/26,0,0,0,0-8,<80%,Yes,No,No
03/02/26,1,1,180,0-8,<80%,Yes,No,No
03/03/26,1,0,60,0-8,<80%,Yes,No,No
